date1,buy,date2,sell,days,new_return,max_return,mode
2017-08-15,16.41989143,2017-08-30,18.35851303,15 days 00:00:00.000000000,11.81,17.67,止盈
2017-12-08,20.14531487,2018-02-01,21.31315921,55 days 00:00:00.000000000,5.8,8.49,止盈
2018-06-29,22.18904247,2018-11-06,23.28097693,130 days 00:00:00.000000000,4.92,6.24,止盈
2018-11-13,24.37875061,2018-11-21,27.91147973,8 days 00:00:00.000000000,14.49,18.54,止盈
2019-01-11,28.63554323,2019-01-16,27.20493391,5 days 00:00:00.000000000,-5.0,-3.38,止损ge
2019-05-15,33.65727389,2019-06-10,42.8093544,26 days 00:00:00.000000000,27.19,36.17,止盈
2019-08-12,34.93522402,2019-08-20,32.9417733,8 days 00:00:00.000000000,-5.71,0.97,止损ge
2019-12-11,27.27040597,2020-02-03,24.02108128,54 days 00:00:00.000000000,-11.92,4.46,止损ge
2020-03-11,26.51289469,2020-03-13,27.27040597,2 days 00:00:00.000000000,2.86,6.02,止盈
2020-06-02,29.89179368,2020-06-15,31.9,13 days 00:00:00.000000000,6.72,12.37,止盈
